                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.73768,                0.45177,                0.96711,                0.99714,                      1,                  0.995,                0.86268,                 0.5763,                0.32694,                0.88975,              0.0014852,              0.0014852,              0.0014852
                    132,                0.75204,                0.44783,                0.94813,                0.99726,                      1,                  0.995,                0.85448,                0.59684,                 0.3235,                0.89678,              0.0014812,              0.0014812,              0.0014812
                    133,                0.79312,                0.44775,                0.99209,                0.99735,                      1,                  0.995,                 0.8762,                0.53971,                0.32649,                0.87157,              0.0014773,              0.0014773,              0.0014773
                    134,                0.76094,                 0.4371,                0.95084,                0.99735,                      1,                  0.995,                 0.8762,                0.53971,                0.32649,                0.87157,              0.0014733,              0.0014733,              0.0014733
                    135,                0.77408,                0.43926,                0.94349,                0.99733,                      1,                  0.995,                0.84406,                0.69273,                0.37107,                0.93655,              0.0014694,              0.0014694,              0.0014694
                    136,                0.76808,                0.42304,                0.93762,                0.99715,                      1,                  0.995,                0.85318,                0.63953,                0.37041,                0.91227,              0.0014654,              0.0014654,              0.0014654
                    137,                0.76286,                0.43508,                0.92644,                0.99706,                      1,                  0.995,                 0.8874,                0.61627,                0.37549,                 0.8955,              0.0014614,              0.0014614,              0.0014614
                    138,                0.71616,                0.40826,                0.92213,                 0.9971,                      1,                  0.995,                0.85188,                0.67255,                0.37293,                0.93097,              0.0014575,              0.0014575,              0.0014575
                    139,                 0.7473,                0.42892,                0.97391,                0.99712,                      1,                  0.995,                0.89487,                0.54057,                0.33223,                0.89167,              0.0014535,              0.0014535,              0.0014535
                    140,                0.67266,                0.38799,                0.91837,                0.99709,                      1,                  0.995,                0.88847,                0.52421,                0.33221,                0.86748,              0.0014496,              0.0014496,              0.0014496
                    141,                0.70678,                0.39579,                0.92684,                0.99694,                      1,                  0.995,                0.86182,                0.61342,                0.33615,                0.88708,              0.0014456,              0.0014456,              0.0014456
                    142,                0.70102,                0.39887,                 0.9442,                0.99694,                      1,                  0.995,                0.86182,                0.61342,                0.33615,                0.88708,              0.0014416,              0.0014416,              0.0014416
                    143,                0.71485,                0.42103,                0.95136,                0.99673,                      1,                  0.995,                0.89148,                0.53993,                0.31166,                0.86701,              0.0014377,              0.0014377,              0.0014377
                    144,                0.76175,                0.42789,                0.94977,                0.99669,                      1,                  0.995,                0.88486,                0.54112,                0.30445,                0.86891,              0.0014337,              0.0014337,              0.0014337
                    145,                0.76328,                0.46938,                0.96724,                0.99703,                      1,                  0.995,                0.90365,                0.54374,                0.31706,                0.87442,              0.0014298,              0.0014298,              0.0014298
                    146,                0.72914,                0.41509,                0.94996,                0.99708,                      1,                  0.995,                0.89991,                0.49409,                0.31436,                0.86239,              0.0014258,              0.0014258,              0.0014258
                    147,                0.68061,                0.41959,                0.95468,                0.99712,                      1,                  0.995,                0.88686,                0.52749,                0.31522,                0.86395,              0.0014218,              0.0014218,              0.0014218
                    148,                0.72071,                0.44663,                0.95985,                0.99672,                      1,                  0.995,                0.89905,                  0.529,                0.30681,                0.86395,              0.0014179,              0.0014179,              0.0014179
                    149,                0.74526,                0.41671,                 0.9436,                0.99709,                      1,                  0.995,                  0.896,                0.56765,                0.32355,                0.88377,              0.0014139,              0.0014139,              0.0014139
                    150,                0.73263,                0.40498,                0.92871,                0.99709,                      1,                  0.995,                  0.896,                0.56765,                0.32355,                0.88377,                0.00141,                0.00141,                0.00141
                    151,                0.67781,                0.40182,                0.94525,                0.99717,                      1,                  0.995,                0.86683,                0.62103,                0.32303,                 0.9076,               0.001406,               0.001406,               0.001406
                    152,                 0.6957,                 0.4123,                0.95429,                0.99697,                      1,                  0.995,                0.84796,                0.66708,                 0.3529,                 0.9271,               0.001402,               0.001402,               0.001402
                    153,                0.68217,                 0.3775,                0.91746,                0.99703,                      1,                  0.995,                0.88451,                0.55197,                0.31919,                0.88078,              0.0013981,              0.0013981,              0.0013981
                    154,                0.69636,                0.41957,                0.93003,                 0.9953,                      1,                  0.995,                0.90765,                0.49948,                0.29583,                0.85684,              0.0013941,              0.0013941,              0.0013941
                    155,                 0.6748,                 0.3936,                0.93192,                0.99639,                      1,                  0.995,                 0.8859,                0.53922,                0.31839,                0.86797,              0.0013902,              0.0013902,              0.0013902
                    156,                0.71411,                0.43402,                0.92717,                0.99712,                      1,                  0.995,                0.88229,                0.48657,                0.31065,                0.86498,              0.0013862,              0.0013862,              0.0013862
                    157,                0.67688,                0.39237,                0.91875,                0.99722,                      1,                  0.995,                0.85541,                0.57037,                0.32439,                0.88822,              0.0013822,              0.0013822,              0.0013822
